Email_Content,Sentiment
delighted result product .,Positive
truly appreciate outstanding effort .,Positive
product quality acceptable standard .,Negative
assistance resolved concern .,Positive
thank amazing service !,Positive
truly appreciate outstanding effort .,Positive
truly appreciate outstanding effort .,Positive
writing inquire service .,Neutral
product quality acceptable standard .,Negative
customer support failed address issue .,Negative
writing inquire service .,Neutral
service highly disappointing .,Negative
truly appreciate outstanding effort .,Positive
update u project progress ?,Neutral
update u project progress ?,Neutral
thank amazing service !,Positive
assistance resolved concern .,Positive
recommend anyone .,Negative
thank amazing service !,Positive
product quality acceptable standard .,Negative
customer support failed address issue .,Negative
frustrated lack communication .,Negative
recommend anyone .,Negative
team incredibly supportive .,Positive
service highly disappointing .,Negative
service highly disappointing .,Negative
truly appreciate outstanding effort .,Positive
let know need additional information .,Neutral
please confirm meeting time tomorrow .,Neutral
thank amazing service !,Positive
writing inquire service .,Neutral
recommend anyone .,Negative
update u project progress ?,Neutral
thank amazing service !,Positive
truly appreciate outstanding effort .,Positive
writing inquire service .,Neutral
assistance resolved concern .,Positive
assistance resolved concern .,Positive
writing inquire service .,Neutral
let know need additional information .,Neutral
truly appreciate outstanding effort .,Positive
let know need additional information .,Neutral
frustrated lack communication .,Negative
thank amazing service !,Positive
frustrated lack communication .,Negative
recommend anyone .,Negative
please confirm meeting time tomorrow .,Neutral
please confirm meeting time tomorrow .,Neutral
still waiting shipment detail .,Neutral
still waiting shipment detail .,Neutral
frustrated lack communication .,Negative
update u project progress ?,Neutral
thank amazing service !,Positive
frustrated lack communication .,Negative
recommend anyone .,Negative
truly appreciate outstanding effort .,Positive
service highly disappointing .,Negative
let know need additional information .,Neutral
update u project progress ?,Neutral
writing inquire service .,Neutral
delighted result product .,Positive
team incredibly supportive .,Positive
assistance resolved concern .,Positive
update u project progress ?,Neutral
writing inquire service .,Neutral
assistance resolved concern .,Positive
frustrated lack communication .,Negative
delighted result product .,Positive
service highly disappointing .,Negative
team incredibly supportive .,Positive
writing inquire service .,Neutral
delighted result product .,Positive
recommend anyone .,Negative
assistance resolved concern .,Positive
thank amazing service !,Positive
writing inquire service .,Neutral
frustrated lack communication .,Negative
let know need additional information .,Neutral
frustrated lack communication .,Negative
still waiting shipment detail .,Neutral
recommend anyone .,Negative
customer support failed address issue .,Negative
recommend anyone .,Negative
customer support failed address issue .,Negative
recommend anyone .,Negative
frustrated lack communication .,Negative
assistance resolved concern .,Positive
customer support failed address issue .,Negative
truly appreciate outstanding effort .,Positive
product quality acceptable standard .,Negative
recommend anyone .,Negative
delighted result product .,Positive
thank amazing service !,Positive
writing inquire service .,Neutral
truly appreciate outstanding effort .,Positive
truly appreciate outstanding effort .,Positive
still waiting shipment detail .,Neutral
team incredibly supportive .,Positive
delighted result product .,Positive
delighted result product .,Positive
delighted result product .,Positive
please confirm meeting time tomorrow .,Neutral
delighted result product .,Positive
let know need additional information .,Neutral
delighted result product .,Positive
service highly disappointing .,Negative
team incredibly supportive .,Positive
team incredibly supportive .,Positive
product quality acceptable standard .,Negative
writing inquire service .,Neutral
assistance resolved concern .,Positive
customer support failed address issue .,Negative
please confirm meeting time tomorrow .,Neutral
still waiting shipment detail .,Neutral
truly appreciate outstanding effort .,Positive
service highly disappointing .,Negative
product quality acceptable standard .,Negative
assistance resolved concern .,Positive
writing inquire service .,Neutral
writing inquire service .,Neutral
frustrated lack communication .,Negative
let know need additional information .,Neutral
assistance resolved concern .,Positive
service highly disappointing .,Negative
still waiting shipment detail .,Neutral
frustrated lack communication .,Negative
let know need additional information .,Neutral
truly appreciate outstanding effort .,Positive
update u project progress ?,Neutral
thank amazing service !,Positive
let know need additional information .,Neutral
assistance resolved concern .,Positive
team incredibly supportive .,Positive
team incredibly supportive .,Positive
product quality acceptable standard .,Negative
